home_place,poi_place,visits
Eden,Eden,1262185
Reidsville,Reidsville,901112
Wentworth,Reidsville,173411
Eden,Reidsville,133742
Madison,Madison,129535
Reidsville,Eden,97712
Greensboro,Reidsville,97375
Wentworth,Eden,64980
Mayodan,Madison,64315
Mayodan,Mayodan,45702
Wentworth,Wentworth,28584
Madison,Mayodan,27352
Greensboro,Eden,26588
Eden,Madison,20827
Reidsville,Wentworth,19899
Madison,Eden,12569
Greensboro,Madison,11911
Eden,Wentworth,10772
Burlington,Reidsville,9651
Mayodan,Eden,9169
Eden,Mayodan,8410
Reidsville,Madison,8176
Wentworth,Madison,7526
Stokesdale,Madison,5934
Summerfield,Reidsville,5582
Winston-Salem,Madison,3816
Summerfield,Madison,3502
High Point,Reidsville,3292
Stokesdale,Reidsville,3216
Yanceyville,Reidsville,3210
Summerfield,Eden,3049
Reidsville,Mayodan,3034
Mayodan,Reidsville,2952
Winston-Salem,Eden,2889
Winston-Salem,Reidsville,2764
Greensboro,Mayodan,2720
Oak Ridge,Madison,2673
Madison,Reidsville,2330
Altamahaw,Reidsville,2254
Caswell Beach,Eden,1843
Concord,Reidsville,1597
Kernersville,Madison,1571
Stokesdale,Eden,1494
Wentworth,Mayodan,1482
Winston-Salem,Mayodan,1358
Mebane,Reidsville,1335
Stokesdale,Mayodan,1324
Oak Ridge,Reidsville,1211
Greensboro,Wentworth,1149
High Point,Eden,1148
Mayodan,Wentworth,1120
Kernersville,Mayodan,949
Graham,Reidsville,943
Moravian Falls,Madison,880
High Point,Madison,830
Burlington,Eden,825
Raleigh,Reidsville,808
Yanceyville,Eden,774
Kernersville,Eden,764
Glen Raven,Reidsville,757
Madison,Wentworth,756
Charlotte,Reidsville,738
Kernersville,Reidsville,717
Kernersville,Wentworth,682
Summerfield,Mayodan,652
Topsail Beach,Eden,620
Clemmons,Reidsville,567
Archdale,Reidsville,551
Altamahaw,Eden,538
Caswell Beach,Madison,530
Durham,Reidsville,513
Raleigh,Eden,508
Burlington,Wentworth,505
Forest Oaks,Reidsville,491
High Point,Mayodan,489
Rocky Mount,Eden,468
Tobaccoville,Reidsville,417
Lake Norman of Catawba,Eden,384
McLeansville,Reidsville,374
Spencer,Eden,367
Kill Devil Hills,Madison,366
Oak Ridge,Eden,358
Oak Ridge,Mayodan,333
Asheboro,Reidsville,313
Graham,Eden,310
Boone,Eden,305
Wilmington,Reidsville,295
Roxboro,Reidsville,294
Elon,Reidsville,290
Lewisville,Madison,283
Rocky Mount,Reidsville,282
Salisbury,Eden,239
Mount Airy,Reidsville,237
Lowesville,Eden,229
Cherokee,Reidsville,223
King,Eden,211
Stokesdale,Wentworth,208
Chapel Hill,Eden,205
Charlotte,Madison,191
Gibsonville,Reidsville,188
King,Mayodan,188
Fayetteville,Eden,186
Charlotte,Eden,183
Smithfield,Eden,181
Wilson,Reidsville,163
King,Madison,157
Oak Island,Reidsville,154
Moravian Falls,Mayodan,145
Spencer,Reidsville,145
Welcome,Reidsville,142
Winston-Salem,Wentworth,141
Hickory,Madison,141
Southern Pines,Reidsville,140
Rural Hall,Madison,123
Wilson,Eden,121
Lexington,Madison,117
Trinity,Reidsville,115
Havelock,Eden,109
Conover,Eden,109
Kannapolis,Reidsville,105
Chapel Hill,Reidsville,103
Cricket,Reidsville,90
China Grove,Mayodan,90
Thomasville,Reidsville,88
Asheville,Reidsville,88
Oak Island,Madison,86
Greenville,Reidsville,82
Lewisville,Reidsville,82
Wilmington,Eden,82
Burlington,Madison,82
Charlotte,Mayodan,81
Pleasant Garden,Reidsville,81
Thomasville,Eden,80
Calabash,Eden,80
McLeansville,Madison,76
Oak Island,Eden,74
Cary,Reidsville,72
Youngsville,Eden,70
Raleigh,Madison,66
Buies Creek,Eden,62
Mebane,Eden,62
Pinehurst,Mayodan,60
Oak Island,Mayodan,60
Pleasant Hill,Reidsville,59
Apex,Reidsville,59
Jamestown,Reidsville,57
Mount Airy,Eden,56
Pleasant Garden,Madison,55
Summerfield,Wentworth,54
Hickory,Reidsville,53
Garner,Reidsville,53
McLeansville,Eden,51
Concord,Eden,51
Buxton,Madison,51
Fayetteville,Madison,51
Morrisville,Eden,51
Tobaccoville,Eden,50
Salisbury,Reidsville,48
Trinity,Madison,46
Caswell Beach,Reidsville,45
Kitty Hawk,Eden,43
Boone,Madison,42
Matthews,Reidsville,40
Rougemont,Eden,40
Holden Beach,Reidsville,39
Pleasant Garden,Wentworth,38
Gamewell,Madison,37
Kannapolis,Madison,37
Pinehurst,Madison,37
Badin,Reidsville,35
Carolina Beach,Reidsville,31
Conover,Reidsville,27
Oak Ridge,Wentworth,23
Ayden,Eden,22
Statesville,Reidsville,22
Tobaccoville,Madison,19
King,Reidsville,19
Midway,Reidsville,18
Topsail Beach,Reidsville,17
Walkertown,Madison,16
Glen Raven,Madison,15
Pine Knoll Shores,Madison,15
Hope Mills,Madison,14
Zebulon,Reidsville,14
Welcome,Eden,14
Concord,Madison,14
Garner,Madison,10
Wallburg,Madison,10
Gastonia,Madison,10
Durham,Madison,10
Cary,Eden,3
Four Oaks,Reidsville,2
Pittsboro,Reidsville,2
Smithfield,Reidsville,2
Forest City,Reidsville,1
Vanceboro,Reidsville,1
Shelby,Reidsville,1
