home_place,Eden,Madison,Mayodan,Reidsville,Wentworth
Altamahaw,538.0,0.0,0.0,2254.0,0.0
Apex,0.0,0.0,0.0,59.0,0.0
Archdale,0.0,0.0,0.0,551.0,0.0
Asheboro,0.0,0.0,0.0,313.0,0.0
Asheville,0.0,0.0,0.0,88.0,0.0
Ayden,22.0,0.0,0.0,0.0,0.0
Badin,0.0,0.0,0.0,35.0,0.0
Boone,305.0,42.0,0.0,0.0,0.0
Buies Creek,62.0,0.0,0.0,0.0,0.0
Burlington,825.0,82.0,0.0,9651.0,505.0
Buxton,0.0,51.0,0.0,0.0,0.0
Calabash,80.0,0.0,0.0,0.0,0.0
Carolina Beach,0.0,0.0,0.0,31.0,0.0
Cary,3.0,0.0,0.0,72.0,0.0
Caswell Beach,1843.0,530.0,0.0,45.0,0.0
Chapel Hill,205.0,0.0,0.0,103.0,0.0
Charlotte,183.0,191.0,81.0,738.0,0.0
Cherokee,0.0,0.0,0.0,223.0,0.0
China Grove,0.0,0.0,90.0,0.0,0.0
Clemmons,0.0,0.0,0.0,567.0,0.0
Concord,51.0,14.0,0.0,1597.0,0.0
Conover,109.0,0.0,0.0,27.0,0.0
Cricket,0.0,0.0,0.0,90.0,0.0
Durham,0.0,10.0,0.0,513.0,0.0
Eden,1262185.0,20827.0,8410.0,133742.0,10772.0
Elon,0.0,0.0,0.0,290.0,0.0
Fayetteville,186.0,51.0,0.0,0.0,0.0
Forest City,0.0,0.0,0.0,1.0,0.0
Forest Oaks,0.0,0.0,0.0,491.0,0.0
Four Oaks,0.0,0.0,0.0,2.0,0.0
Gamewell,0.0,37.0,0.0,0.0,0.0
Garner,0.0,10.0,0.0,53.0,0.0
Gastonia,0.0,10.0,0.0,0.0,0.0
Gibsonville,0.0,0.0,0.0,188.0,0.0
Glen Raven,0.0,15.0,0.0,757.0,0.0
Graham,310.0,0.0,0.0,943.0,0.0
Greensboro,26588.0,11911.0,2720.0,97375.0,1149.0
Greenville,0.0,0.0,0.0,82.0,0.0
Havelock,109.0,0.0,0.0,0.0,0.0
Hickory,0.0,141.0,0.0,53.0,0.0
High Point,1148.0,830.0,489.0,3292.0,0.0
Holden Beach,0.0,0.0,0.0,39.0,0.0
Hope Mills,0.0,14.0,0.0,0.0,0.0
Jamestown,0.0,0.0,0.0,57.0,0.0
Kannapolis,0.0,37.0,0.0,105.0,0.0
Kernersville,764.0,1571.0,949.0,717.0,682.0
Kill Devil Hills,0.0,366.0,0.0,0.0,0.0
King,211.0,157.0,188.0,19.0,0.0
Kitty Hawk,43.0,0.0,0.0,0.0,0.0
Lake Norman of Catawba,384.0,0.0,0.0,0.0,0.0
Lewisville,0.0,283.0,0.0,82.0,0.0
Lexington,0.0,117.0,0.0,0.0,0.0
Lowesville,229.0,0.0,0.0,0.0,0.0
Madison,12569.0,129535.0,27352.0,2330.0,756.0
Matthews,0.0,0.0,0.0,40.0,0.0
Mayodan,9169.0,64315.0,45702.0,2952.0,1120.0
McLeansville,51.0,76.0,0.0,374.0,0.0
Mebane,62.0,0.0,0.0,1335.0,0.0
Midway,0.0,0.0,0.0,18.0,0.0
Moravian Falls,0.0,880.0,145.0,0.0,0.0
Morrisville,51.0,0.0,0.0,0.0,0.0
Mount Airy,56.0,0.0,0.0,237.0,0.0
Oak Island,74.0,86.0,60.0,154.0,0.0
Oak Ridge,358.0,2673.0,333.0,1211.0,23.0
Pine Knoll Shores,0.0,15.0,0.0,0.0,0.0
Pinehurst,0.0,37.0,60.0,0.0,0.0
Pittsboro,0.0,0.0,0.0,2.0,0.0
Pleasant Garden,0.0,55.0,0.0,81.0,38.0
Pleasant Hill,0.0,0.0,0.0,59.0,0.0
Raleigh,508.0,66.0,0.0,808.0,0.0
Reidsville,97712.0,8176.0,3034.0,901112.0,19899.0
Rocky Mount,468.0,0.0,0.0,282.0,0.0
Rougemont,40.0,0.0,0.0,0.0,0.0
Roxboro,0.0,0.0,0.0,294.0,0.0
Rural Hall,0.0,123.0,0.0,0.0,0.0
Salisbury,239.0,0.0,0.0,48.0,0.0
Shelby,0.0,0.0,0.0,1.0,0.0
Smithfield,181.0,0.0,0.0,2.0,0.0
Southern Pines,0.0,0.0,0.0,140.0,0.0
Spencer,367.0,0.0,0.0,145.0,0.0
Statesville,0.0,0.0,0.0,22.0,0.0
Stokesdale,1494.0,5934.0,1324.0,3216.0,208.0
Summerfield,3049.0,3502.0,652.0,5582.0,54.0
Thomasville,80.0,0.0,0.0,88.0,0.0
Tobaccoville,50.0,19.0,0.0,417.0,0.0
Topsail Beach,620.0,0.0,0.0,17.0,0.0
Trinity,0.0,46.0,0.0,115.0,0.0
Vanceboro,0.0,0.0,0.0,1.0,0.0
Walkertown,0.0,16.0,0.0,0.0,0.0
Wallburg,0.0,10.0,0.0,0.0,0.0
Welcome,14.0,0.0,0.0,142.0,0.0
Wentworth,64980.0,7526.0,1482.0,173411.0,28584.0
Wilmington,82.0,0.0,0.0,295.0,0.0
Wilson,121.0,0.0,0.0,163.0,0.0
Winston-Salem,2889.0,3816.0,1358.0,2764.0,141.0
Yanceyville,774.0,0.0,0.0,3210.0,0.0
Youngsville,70.0,0.0,0.0,0.0,0.0
Zebulon,0.0,0.0,0.0,14.0,0.0
